rank,score,viscousDampingNsPerM,coulombFrictionN,thermalRelaxationTimeS,thermalVolumeExponent,timingRmseMs,amplitudeRmseKpa,visibleDurationRmseMs,run1ReleaseAmplitudeMm,run1VisibleDurationS,run2ReleaseAmplitudeMm,run2VisibleDurationS,run3ReleaseAmplitudeMm,run3VisibleDurationS,run4ReleaseAmplitudeMm,run4VisibleDurationS
1,2.534294226997252,1.1,0,0.05,1,2.1689196513961626,0.8070609297459165,10.319883720275149,6.75,0.23299999999999998,6,0.22499999999999998,4.5,0.188,3.75,0.19399999999999998
2,2.54963260468911,1,0,0.05,1,2.1689196513961626,0.8971736587030253,11.045361017187258,6.5,0.248,5.75,0.239,4.25,0.201,3.5,0.205
3,2.582602707886127,1,0.01,0.05,1,2.1689196513961626,0.8553438997345959,10.319883720275149,6.5,0.23299999999999998,5.75,0.22499999999999998,4.5,0.201,3.75,0.19399999999999998
4,2.6086758244725394,0.9,0.01,0.05,1,2.1689196513961626,0.939192753423401,11.045361017187258,6.25,0.248,5.5,0.239,4.25,0.201,3.5,0.205
5,2.6154738806938784,1,0.0025,0.05,1,2.1689196513961626,0.9220611831092486,11.011357772772618,6.75,0.248,6,0.24,4.5,0.201,3.75,0.205
6,2.6210489157496726,1,0.005,0.05,1,2.1689196513961626,0.8894140180378868,10.319883720275149,6.25,0.23299999999999998,5.75,0.22499999999999998,4.25,0.201,3.5,0.19399999999999998
7,2.6440493096773365,1.1,0.0025,0.05,1,2.1689196513961626,0.8580423241522709,10.500000000000002,7.25,0.23199999999999998,6,0.22499999999999998,4.5,0.188,3.75,0.19399999999999998
8,2.6856295917917468,1.2,0,0.05,1,2.1689196513961626,0.8118086050499909,18.506755523321736,7,0.21700000000000003,6.25,0.212,4.75,0.188,3.75,0.183
9,2.694233535857047,1.1,0.01,0.05,1,2.1689196513961626,0.802755841705275,18.90105817143579,6.75,0.21700000000000003,6,0.211,4.5,0.17600000000000002,3.75,0.183
10,2.7044098633381033,1.1,0.005,0.05,1,2.1689196513961626,0.8337159744225394,14.790199457749027,6.75,0.21700000000000003,6.25,0.22599999999999998,4.75,0.188,3.75,0.19399999999999998
11,2.7298321497313713,1.2,0.0025,0.05,1,2.1689196513961626,0.8270527612197847,18.90105817143579,7.25,0.21700000000000003,6.25,0.211,4.75,0.17600000000000002,4,0.183
12,2.7312005915136526,1.2,0,0.075,1,2.187139120764276,0.8742911484225445,13.765899897936206,7,0.23299999999999998,6,0.22599999999999998,4.5,0.201,3.75,0.205
