时间 (秒 s) 运行#1（h=50mm）,绝对压力1 (千帕 kPa) 运行#1,时间 (秒 s) 运行#2（40）,绝对压力1 (千帕 kPa) 运行#2,时间 (秒 s) 运行#3（30）,绝对压力1 (千帕 kPa) 运行#3,时间 (秒 s) 运行#4（60）,绝对压力1 (千帕 kPa) 运行#4
0,111.56,1.00E-10,112.65,0,114.65,0,111.76
0.001,106.06,0.001,107.34,0.001,107.41,0.001,105.75
0.002,101.35,0.002,103.32,0.002,101.94,0.002,98.96
0.003,98.31,0.003,98.68,0.003,95.81,0.003,93.6
0.004,95.29,0.004,94.67,0.004,91.02,0.004,90.57
0.005,92.99,0.005,92.14,0.005,88.1,0.005,87.98
0.006,91.43,0.006,89.85,0.006,85.42,0.006,86.81
0.007,89.64,0.007,88.42,0.007,83.61,0.007,86.74
0.008,88.29,0.008,87.37,0.008,83.1,0.008,88.89
0.009,87.62,0.009,86.91,0.009,83.85,0.009,91.72
0.01,87.43,0.01,87.26,0.01,86.12,0.01,96.22
0.011,87.94,0.011,88.29,0.011,88.36,0.011,100.5
0.012,88.84,0.012,90.21,0.012,91.29,0.012,104.17
0.013,90.39,0.013,91.79,0.013,94.18,0.013,108.41
0.014,91.84,0.014,93.94,0.014,96.8,0.014,112.89
0.015,93.75,0.015,96.1,0.015,100.42,0.015,115.72
0.016,95.92,0.016,98.18,0.016,103.54,0.016,117.72
0.017,97.89,0.017,101,0.017,107.23,0.017,117.13
0.018,100.54,0.018,104.03,0.018,110.24,0.018,114.92
0.019,103.33,0.019,106.24,0.019,112.38,0.019,111.05
0.02,105.38,0.02,108.65,0.02,114,0.02,107.07
0.021,107.69,0.021,110.77,0.021,114.21,0.021,103.93
0.022,109.89,0.022,112.02,0.022,112.94,0.022,100.08
0.023,111.26,0.023,112.81,0.023,110.75,0.023,96.48
0.024,112.3,0.024,112.63,0.024,108.34,0.024,94.14
0.025,112.26,0.025,111.48,0.025,106.73,0.025,92.21
0.026,111.55,0.026,109.65,0.026,104.24,0.026,90.61
0.027,110.01,0.027,108.02,0.027,101.46,0.027,90.05
0.028,108.26,0.028,105.85,0.028,99.1,0.028,89.98
0.029,106.76,0.029,103.58,0.029,96.57,0.029,91.32
0.03,104.85,0.03,101.63,0.03,94.79,0.03,92.8
0.031,102.73,0.031,99.21,0.031,93.84,0.031,95.32
0.032,101.05,0.032,97.04,0.032,92.7,0.032,97.29
0.033,99.06,0.033,95.58,0.033,91.92,0.033,100.12
0.034,97.36,0.034,94.32,0.034,91.66,0.034,102.86
0.035,96.22,0.035,93.28,0.035,92.02,0.035,105.06
0.036,95.19,0.036,92.6,0.036,92.82,0.036,107.03
