seed,seed_index,window_index,end_time_s,duration_s,wall_momentum_pressure,ideal_reference_pressure,relative_gap_percent
hard-sphere-seed-01,1,1,10.1,0.1,0,0.0579704552,-100
hard-sphere-seed-01,1,2,10.2,0.1,0.076120711,0.0571994291,33.07949423
hard-sphere-seed-01,1,3,10.3,0.1,0.0566105347,0.0571338854,-0.91600749
hard-sphere-seed-01,1,4,10.4,0.1,0.0872664071,0.0559686731,55.92009287
hard-sphere-seed-01,1,5,10.5,0.1,0.0614169414,0.0556256078,10.41127245
hard-sphere-seed-01,1,6,10.6,0.1,0.0158646157,0.0556902085,-71.5127378
hard-sphere-seed-01,1,7,10.7,0.1,0.0065752377,0.0559476968,-88.24752743
hard-sphere-seed-01,1,8,10.8,0.1,0.0560915314,0.0563058489,-0.38063091
hard-sphere-seed-01,1,9,10.9,0.1,0.0583596914,0.0540582678,7.95701334
hard-sphere-seed-01,1,10,11,0.1,0.1172319901,0.0524620764,123.46044668
hard-sphere-seed-01,1,11,11.1,0.1,0.0198112132,0.0528662584,-62.52578894
hard-sphere-seed-01,1,12,11.2,0.1,0.0645538312,0.0517088555,24.84095917
hard-sphere-seed-01,1,13,11.3,0.1,0.0425102049,0.0541134666,-21.442466
hard-sphere-seed-01,1,14,11.4,0.1,0.0095076275,0.0548224,-82.65740381
hard-sphere-seed-01,1,15,11.5,0.1,0.1260046403,0.0550837785,128.75090218
hard-sphere-seed-01,1,16,11.6,0.1,0.0167594601,0.0573299156,-70.76664085
hard-sphere-seed-01,1,17,11.7,0.1,0.05587552,0.0576313476,-3.04665366
hard-sphere-seed-01,1,18,11.8,0.1,0.0312334304,0.0571967848,-45.39303122
hard-sphere-seed-01,1,19,11.9,0.1,0.1003883305,0.0578747366,73.45794796
hard-sphere-seed-01,1,20,12,0.1,0.0716366678,0.0571400755,25.37027152
hard-sphere-seed-01,1,21,12.1,0.1,0.0560967571,0.0564396447,-0.60752966
hard-sphere-seed-01,1,22,12.2,0.1,0.006854569,0.0557339604,-87.70127058
hard-sphere-seed-01,1,23,12.3,0.1,0.1022271871,0.0558923953,82.89999306
hard-sphere-seed-01,1,24,12.4,0.1,0.0632480433,0.0579334769,9.17356704
hard-sphere-seed-01,1,25,12.5,0.1,0.0274698681,0.0601171507,-54.30610431
hard-sphere-seed-01,1,26,12.6,0.1,0.1492968045,0.0618004766,141.57872685
hard-sphere-seed-01,1,27,12.7,0.1,0,0.0598266374,-100
hard-sphere-seed-01,1,28,12.8,0.1,0.0230868431,0.0606164839,-61.91325919
hard-sphere-seed-01,1,29,12.9,0.1,0.0413081664,0.0613061509,-32.61986633
hard-sphere-seed-01,1,30,13,0.1,0.0518253397,0.0596626431,-13.13603131
hard-sphere-seed-01,1,31,13.1,0.1,0.1444220706,0.0592924086,143.57598887
hard-sphere-seed-01,1,32,13.2,0.1,0.0280616866,0.061591581,-54.43908711
hard-sphere-seed-01,1,33,13.3,0.1,0.0570080211,0.0617391707,-7.66312469
hard-sphere-seed-01,1,34,13.4,0.1,0.0716781123,0.0630080021,13.76033185
hard-sphere-seed-01,1,35,13.5,0.1,0.0963418279,0.0626406678,53.80076756
hard-sphere-seed-01,1,36,13.6,0.1,0.0516298719,0.0637448915,-19.00547536
hard-sphere-seed-01,1,37,13.7,0.1,0.0803231027,0.0614501081,30.71271172
hard-sphere-seed-01,1,38,13.8,0.1,0.0337376952,0.0604681606,-44.2058516
hard-sphere-seed-01,1,39,13.9,0.1,0.1208107079,0.0605984573,99.36267909
hard-sphere-seed-01,1,40,14,0.1,0.0597398296,0.0607876208,-1.72369175
hard-sphere-seed-01,1,41,14.1,0.1,0.0453750459,0.0616268887,-26.37135052
hard-sphere-seed-01,1,42,14.2,0.1,0.0871217493,0.0617132855,41.17178918
hard-sphere-seed-01,1,43,14.3,0.1,0.0941180319,0.0595248511,58.11552675
hard-sphere-seed-01,1,44,14.4,0.1,0.074465247,0.0589321816,26.35752655
hard-sphere-seed-01,1,45,14.5,0.1,0.0470484615,0.0604996394,-22.23348447
hard-sphere-seed-01,1,46,14.6,0.1,0.0108066318,0.0625963151,-82.73599364
hard-sphere-seed-01,1,47,14.7,0.1,0.0820166249,0.0632563905,29.65745325
hard-sphere-seed-01,1,48,14.8,0.1,0.0536005161,0.0642659798,-16.59581597
hard-sphere-seed-01,1,49,14.9,0.1,0.065189899,0.0642347312,1.48699591
hard-sphere-seed-01,1,50,15,0.1,0.0416932561,0.0626196092,-33.418211
hard-sphere-seed-01,1,51,15.1,0.1,0.0911818669,0.0603812559,51.01021936
hard-sphere-seed-01,1,52,15.2,0.1,0.0074821249,0.059460463,-87.41663862
hard-sphere-seed-01,1,53,15.3,0.1,0.0289441387,0.0593250131,-51.21090214
hard-sphere-seed-01,1,54,15.4,0.1,0.055101156,0.0612274529,-10.00580062
hard-sphere-seed-01,1,55,15.5,0.1,0.0066830064,0.0608005228,-89.00830766
hard-sphere-seed-01,1,56,15.6,0.1,0.076224782,0.0608901808,25.18402971
hard-sphere-seed-01,1,57,15.7,0.1,0.0944673782,0.0606902332,55.65499286
hard-sphere-seed-01,1,58,15.8,0.1,0.0406028753,0.0612622348,-33.72283026
hard-sphere-seed-01,1,59,15.9,0.1,0.09266231,0.0606140901,52.87255803
hard-sphere-seed-01,1,60,16,0.1,0.014596603,0.0601008721,-75.7131594
hard-sphere-seed-01,1,61,16.1,0.1,0.1228526155,0.0602025865,104.06534453
hard-sphere-seed-01,1,62,16.2,0.1,0.0079567105,0.0580920432,-86.30326968
hard-sphere-seed-01,1,63,16.3,0.1,0.0774503502,0.0571325951,35.56245787
hard-sphere-seed-01,1,64,16.4,0.1,0.0145202173,0.0584149354,-75.1429712
hard-sphere-seed-01,1,65,16.5,0.1,0.0667597165,0.0566948671,17.75266411
hard-sphere-seed-01,1,66,16.6,0.1,0.1177626765,0.0551364653,113.58401519
hard-sphere-seed-01,1,67,16.7,0.1,0.1126177478,0.0536047719,110.08903466
hard-sphere-seed-01,1,68,16.8,0.1,0.0451773371,0.0543409312,-16.86315243
hard-sphere-seed-01,1,69,16.9,0.1,0.1001149012,0.0548981799,82.3647003
hard-sphere-seed-01,1,70,17,0.1,0.0789919381,0.0539494678,46.41838236
hard-sphere-seed-01,1,71,17.1,0.1,0,0.0555421521,-100
hard-sphere-seed-01,1,72,17.2,0.1,0.0377915829,0.054424881,-30.56193733
hard-sphere-seed-01,1,73,17.3,0.1,0.0639349747,0.0539268776,18.55864374
hard-sphere-seed-01,1,74,17.4,0.1,0.0427045574,0.0523405313,-18.41015688
hard-sphere-seed-01,1,75,17.5,0.1,0.0815360792,0.0534610723,52.51485939
hard-sphere-seed-01,1,76,17.6,0.1,0.047806785,0.0541580191,-11.72722751
hard-sphere-seed-01,1,77,17.7,0.1,0.0508493625,0.0578059825,-12.03442905
hard-sphere-seed-01,1,78,17.8,0.1,0.0110008818,0.0579553605,-81.01835332
hard-sphere-seed-01,1,79,17.9,0.1,0.101521685,0.0616649095,64.63445066
hard-sphere-seed-01,1,80,18,0.1,0,0.064476331,-100
hard-sphere-seed-01,1,81,18.1,0.1,0.090657234,0.0638021762,42.09113152
hard-sphere-seed-01,1,82,18.2,0.1,0.0604770724,0.0629191726,-3.88132924
hard-sphere-seed-01,1,83,18.3,0.1,0.0352760579,0.0628535967,-43.87583254
hard-sphere-seed-01,1,84,18.4,0.1,0.0809225688,0.0612310653,32.15933514
hard-sphere-seed-01,1,85,18.5,0.1,0.0330529317,0.0607456125,-45.58795224
hard-sphere-seed-01,1,86,18.6,0.1,0.0526472032,0.0570379932,-7.6980092
hard-sphere-seed-01,1,87,18.7,0.1,0.0405484764,0.0593536103,-31.68321818
hard-sphere-seed-01,1,88,18.8,0.1,0.0141838243,0.0574947924,-75.33024517
hard-sphere-seed-01,1,89,18.9,0.1,0.0262412452,0.0560991764,-53.2234752
hard-sphere-seed-01,1,90,19,0.1,0.1158747592,0.0560866378,106.59958191
hard-sphere-seed-01,1,91,19.1,0.1,0.0554825716,0.0570373375,-2.72587378
hard-sphere-seed-01,1,92,19.2,0.1,0.0599118647,0.0567580684,5.55656043
hard-sphere-seed-01,1,93,19.3,0.1,0.059936354,0.0573498175,4.5101042
hard-sphere-seed-01,1,94,19.4,0.1,0.0672945082,0.0577013202,16.6255954
hard-sphere-seed-01,1,95,19.5,0.1,0.0360314621,0.0591453351,-39.07979038
hard-sphere-seed-01,1,96,19.6,0.1,0,0.059174788,-100
hard-sphere-seed-01,1,97,19.7,0.1,0.0342492002,0.0601939802,-43.10195124
hard-sphere-seed-01,1,98,19.8,0.1,0.0641069039,0.0594022028,7.92007843
hard-sphere-seed-01,1,99,19.9,0.1,0.0319349677,0.0598545694,-46.64573145
hard-sphere-seed-01,1,100,20,0.1,0.1215287841,0.0595317939,104.14097439
hard-sphere-seed-01,1,101,20.1,0.1,0.1016010277,0.0592236963,71.55468845
hard-sphere-seed-01,1,102,20.2,0.1,0.0585179364,0.0594715675,-1.60350751
hard-sphere-seed-01,1,103,20.3,0.1,0.1310956321,0.0583415705,124.70363912
hard-sphere-seed-01,1,104,20.4,0.1,0.1083327489,0.0585692908,84.9651028
hard-sphere-seed-01,1,105,20.5,0.1,0.0585483131,0.0602511735,-2.82626918
hard-sphere-seed-01,1,106,20.6,0.1,0.054451112,0.0589135409,-7.57453863
hard-sphere-seed-01,1,107,20.7,0.1,0.0379548689,0.0592200441,-35.90874599
hard-sphere-seed-01,1,108,20.8,0.1,0.0478039732,0.0607454939,-21.30449502
hard-sphere-seed-01,1,109,20.9,0.1,0.0300624925,0.0609840103,-50.70430366
hard-sphere-seed-01,1,110,21,0.1,0.0668175741,0.0601542268,11.0771058
hard-sphere-seed-01,1,111,21.1,0.1,0.0223380796,0.0602445905,-62.92102016
hard-sphere-seed-01,1,112,21.2,0.1,0.0968785759,0.0618931371,56.52555419
hard-sphere-seed-01,1,113,21.3,0.1,0.094006697,0.0629093269,49.4320504
hard-sphere-seed-01,1,114,21.4,0.1,0.0593126915,0.0617966734,-4.01960466
hard-sphere-seed-01,1,115,21.5,0.1,0.0908890011,0.0624025113,45.64958884
hard-sphere-seed-01,1,116,21.6,0.1,0.0436897785,0.0624225321,-30.00960225
hard-sphere-seed-01,1,117,21.7,0.1,0.0920201263,0.0618802049,48.70688694
hard-sphere-seed-01,1,118,21.8,0.1,0.0131544617,0.0599111288,-78.04337525
hard-sphere-seed-01,1,119,21.9,0.1,0,0.0593794269,-100
hard-sphere-seed-01,1,120,22,0.1,0.0112212418,0.0595831766,-81.16709712
hard-sphere-seed-01,1,121,22.1,0.1,0,0.0597692517,-100
hard-sphere-seed-01,1,122,22.2,0.1,0.0280802277,0.0601701424,-53.33195735
