relation,relation_key,scan_value,seed,seed_index,particle_count_n,box_length_l,volume_v,inverse_volume_1_per_v,target_temperature,equilibrium_time_s,stats_duration_s,dt_s,thermostat_frequency_nu,wall_momentum_mean_pressure,ideal_reference_mean_pressure,pressure_relative_gap_percent,mean_temperature,pressure_window_count,final_temperature,final_mean_speed,final_rms_speed
P-T,pt,0.6,ideal-gas-seed-01-pt-01,1,128,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0439286203,0.0429658845,2.24069821,0.5800394404,200,0.5688423263,1.2442302706,1.3063410653
P-T,pt,0.6,ideal-gas-seed-02-pt-01,2,128,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0436942673,0.0454164107,-3.79189667,0.6131215447,200,0.5659240345,1.2147455045,1.3029858417
P-T,pt,0.6,ideal-gas-seed-03-pt-01,3,128,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0473598574,0.0447360647,5.86505044,0.6039368729,200,0.5901598768,1.2265815474,1.3305937135
P-T,pt,0.6,ideal-gas-seed-04-pt-01,4,128,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0419546791,0.0432769112,-3.05528291,0.584238301,200,0.5875923188,1.2194262576,1.3276961084
P-T,pt,0.6,ideal-gas-seed-05-pt-01,5,128,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0488488877,0.0458462233,6.54942577,0.6189240149,200,0.6311960189,1.2711963048,1.3760770533
P-T,pt,0.8,ideal-gas-seed-01-pt-02,1,128,12,1728,0.000578703704,0.8,6,20,0.01,0.8,0.061186461,0.0601067671,1.79629339,0.8114413562,200,0.7422943185,1.3874383168,1.4922744237
P-T,pt,0.8,ideal-gas-seed-02-pt-02,2,128,12,1728,0.000578703704,0.8,6,20,0.01,0.8,0.0541325787,0.0572531711,-5.45051448,0.7729178097,200,0.7673578607,1.4172881568,1.5172585746
P-T,pt,0.8,ideal-gas-seed-03-pt-02,3,128,12,1728,0.000578703704,0.8,6,20,0.01,0.8,0.0661282734,0.0569054884,16.20719754,0.7682240939,200,0.7533989766,1.3993764502,1.5033951343
P-T,pt,0.8,ideal-gas-seed-04-pt-02,4,128,12,1728,0.000578703704,0.8,6,20,0.01,0.8,0.0630578523,0.0579737004,8.76975563,0.7826449556,200,0.884782727,1.5033326565,1.6292170454
P-T,pt,0.8,ideal-gas-seed-05-pt-02,5,128,12,1728,0.000578703704,0.8,6,20,0.01,0.8,0.0554482329,0.0599827876,-7.55975989,0.8097676327,200,0.7909739964,1.4220685866,1.5404291575
P-T,pt,1,ideal-gas-seed-01-pt-03,1,128,12,1728,0.000578703704,1,6,20,0.01,0.8,0.0754980616,0.0732307467,3.09612425,0.9886150807,200,1.0251846144,1.6114800957,1.7537257035
P-T,pt,1,ideal-gas-seed-02-pt-03,2,128,12,1728,0.000578703704,1,6,20,0.01,0.8,0.0719452687,0.0734555809,-2.05608918,0.9916503427,200,1.030783933,1.6077479498,1.7585084017
P-T,pt,1,ideal-gas-seed-03-pt-03,3,128,12,1728,0.000578703704,1,6,20,0.01,0.8,0.0836529002,0.0761258625,9.8876222,1.0276991439,200,1.0245559748,1.6173500072,1.7531879318
P-T,pt,1,ideal-gas-seed-04-pt-03,4,128,12,1728,0.000578703704,1,6,20,0.01,0.8,0.0741291517,0.0739103202,0.29607701,0.9977893229,200,0.9526698486,1.5341362139,1.69056486
P-T,pt,1,ideal-gas-seed-05-pt-03,5,128,12,1728,0.000578703704,1,6,20,0.01,0.8,0.0803893522,0.0745871261,7.77912545,1.0069262022,200,1.0332500433,1.6212627212,1.7606107264
P-T,pt,1.2,ideal-gas-seed-01-pt-04,1,128,12,1728,0.000578703704,1.2,6,20,0.01,0.8,0.0852032779,0.0875829503,-2.71704986,1.182369829,200,1.1972050575,1.7399914239,1.895155712
P-T,pt,1.2,ideal-gas-seed-02-pt-04,2,128,12,1728,0.000578703704,1.2,6,20,0.01,0.8,0.0973983433,0.0900983563,8.1022422,1.2163278099,200,1.2848890311,1.7742975759,1.9633306124
P-T,pt,1.2,ideal-gas-seed-03-pt-04,3,128,12,1728,0.000578703704,1.2,6,20,0.01,0.8,0.0882061509,0.0867516789,1.67659242,1.1711476646,200,1.1471545637,1.6858379849,1.8551182418
P-T,pt,1.2,ideal-gas-seed-04-pt-04,4,128,12,1728,0.000578703704,1.2,6,20,0.01,0.8,0.098074761,0.0887228047,10.54064539,1.197757864,200,1.3050278977,1.8233877538,1.9786570428
P-T,pt,1.2,ideal-gas-seed-05-pt-04,5,128,12,1728,0.000578703704,1.2,6,20,0.01,0.8,0.0960921735,0.0882819116,8.84695612,1.1918058061,200,0.9389857009,1.5609473561,1.6783793083
P-T,pt,1.5,ideal-gas-seed-01-pt-05,1,128,12,1728,0.000578703704,1.5,6,20,0.01,0.8,0.1092817045,0.1109195724,-1.47662654,1.4974142269,200,1.3500925111,1.8321395979,2.0125301323
P-T,pt,1.5,ideal-gas-seed-02-pt-05,2,128,12,1728,0.000578703704,1.5,6,20,0.01,0.8,0.1159328128,0.112865691,2.71749701,1.5236868284,200,1.5981292135,2.0429626707,2.1896090155
P-T,pt,1.5,ideal-gas-seed-03-pt-05,3,128,12,1728,0.000578703704,1.5,6,20,0.01,0.8,0.1164117813,0.1164066518,0.00440653,1.5714897998,200,1.3655391482,1.8725257238,2.0240102383
P-T,pt,1.5,ideal-gas-seed-04-pt-05,4,128,12,1728,0.000578703704,1.5,6,20,0.01,0.8,0.119620802,0.1103578104,8.39359853,1.4898304407,200,1.3404589141,1.8581768839,2.0053370645
P-T,pt,1.5,ideal-gas-seed-05-pt-05,5,128,12,1728,0.000578703704,1.5,6,20,0.01,0.8,0.1141160197,0.1066965194,6.95383539,1.4404030119,200,1.5715106347,2.0117497984,2.171297286
P-T,pt,2,ideal-gas-seed-01-pt-06,1,128,12,1728,0.000578703704,2,6,20,0.01,0.8,0.1516543599,0.148896658,1.85209118,2.0101048833,200,2.0845057181,2.3138667762,2.5007033319
P-T,pt,2,ideal-gas-seed-02-pt-06,2,128,12,1728,0.000578703704,2,6,20,0.01,0.8,0.1509560981,0.14768991,2.2115174,1.993813785,200,2.1159128739,2.333163735,2.5194718934
P-T,pt,2,ideal-gas-seed-03-pt-06,3,128,12,1728,0.000578703704,2,6,20,0.01,0.8,0.155315465,0.145965705,6.40544982,1.9705370178,200,1.9726631571,2.2610176719,2.4326918159
P-T,pt,2,ideal-gas-seed-04-pt-06,4,128,12,1728,0.000578703704,2,6,20,0.01,0.8,0.1573941596,0.149572613,5.22926388,2.0192302756,200,1.8401491333,2.1273128852,2.349563236
P-T,pt,2,ideal-gas-seed-05-pt-06,5,128,12,1728,0.000578703704,2,6,20,0.01,0.8,0.1599830617,0.1543798693,3.6294838,2.0841282356,200,2.1300386927,2.3361084737,2.5278678917
P-1/V,pv,12,ideal-gas-seed-01-pv-01,1,128,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0495036018,0.0442297167,11.92384999,0.597101176,200,0.5430133146,1.1829933901,1.2763384911
P-1/V,pv,12,ideal-gas-seed-02-pv-01,2,128,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.043988634,0.0457573868,-3.86550221,0.6177247224,200,0.6196786849,1.2484922614,1.3634647245
P-1/V,pv,12,ideal-gas-seed-03-pv-01,3,128,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0487105018,0.0442469511,10.08781542,0.5973338396,200,0.6137896439,1.2354505961,1.3569704977
P-1/V,pv,12,ideal-gas-seed-04-pv-01,4,128,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0489715231,0.044931955,8.99041243,0.606581393,200,0.5729936361,1.2170052945,1.3110991223
P-1/V,pv,12,ideal-gas-seed-05-pv-01,5,128,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0477376376,0.0446454234,6.92616158,0.6027132159,200,0.5752537263,1.2154549291,1.3136822975
P-1/V,pv,13.5,ideal-gas-seed-01-pv-02,1,128,13.5,2460.375,0.000406442107,0.6,6,20,0.01,0.8,0.0327671222,0.032070781,2.17126337,0.6164542804,200,0.6341645031,1.2722400876,1.3793090695
P-1/V,pv,13.5,ideal-gas-seed-02-pv-02,2,128,13.5,2460.375,0.000406442107,0.6,6,20,0.01,0.8,0.031922168,0.0318535605,0.21538426,0.6122789367,200,0.6134803592,1.2558794482,1.3566285702
P-1/V,pv,13.5,ideal-gas-seed-03-pv-02,3,128,13.5,2460.375,0.000406442107,0.6,6,20,0.01,0.8,0.036077311,0.030765808,17.26430529,0.591370507,200,0.5080468794,1.1182761335,1.2345609091
P-1/V,pv,13.5,ideal-gas-seed-04-pv-02,4,128,13.5,2460.375,0.000406442107,0.6,6,20,0.01,0.8,0.0354814352,0.0304571606,16.4962014,0.5854377854,200,0.5829900486,1.2231826951,1.32248635
P-1/V,pv,13.5,ideal-gas-seed-05-pv-02,5,128,13.5,2460.375,0.000406442107,0.6,6,20,0.01,0.8,0.0340703774,0.0313260317,8.76059163,0.6021389473,200,0.5755089417,1.2217512911,1.3139736774
P-1/V,pv,15,ideal-gas-seed-01-pv-03,1,128,15,3375,0.000296296296,0.6,6,20,0.01,0.8,0.0232902505,0.0230623781,0.98806976,0.6080900467,200,0.633952761,1.2875846248,1.3790787806
P-1/V,pv,15,ideal-gas-seed-02-pv-03,2,128,15,3375,0.000296296296,0.6,6,20,0.01,0.8,0.0268773154,0.0225064392,19.42055863,0.5934315026,200,0.6129477179,1.2531297245,1.3560395104
P-1/V,pv,15,ideal-gas-seed-03-pv-03,3,128,15,3375,0.000296296296,0.6,6,20,0.01,0.8,0.0222178229,0.0218520529,1.6738472,0.576177177,200,0.5979662616,1.237742179,1.3393650678
