seed,time_s,phase,sample_reason,pump_valve_open,stopcock_open,pump_stroke_count,gas_pressure_kpa,pressure_delta_kpa,gas_temperature_k,wall_temperature_k,gas_amount_ratio,display_pressure_mv,display_temperature_mv,release_open_duration_s
heat-trace-standard-realistic-01,0.1,initial,automatic-u0,false,true,0,101.3,0,298.15,298.15,1,0,1498.7,0
heat-trace-standard-realistic-01,0.2,pumping,pump-stroke,true,false,1,101.30000001,-0.00108146,298.14999998,298.1499917,1,0.04,1498.71,0
heat-trace-standard-realistic-01,0.670588,pumping,pump-stroke,true,false,2,101.67731717,0.37625529,298.26605163,298.15006517,1.003334213,5.76,1498.93,0
heat-trace-standard-realistic-01,1.070588,pumping,periodic,true,false,2,102.05138007,0.75033459,298.37903824,298.15022451,1.006644073,13.26,1499.31,0
heat-trace-standard-realistic-01,1.141176,pumping,pump-stroke,true,false,3,102.05052738,0.74948478,298.37811564,298.15025208,1.006638774,13.54,1499.36,0
heat-trace-standard-realistic-01,1.611765,pumping,pump-stroke,true,false,4,102.42089732,1.11987363,298.48637378,298.15055036,1.009925725,21.52,1499.8,0
heat-trace-standard-realistic-01,2.011765,pumping,periodic,true,false,4,102.79014962,1.48914173,298.59274199,298.15089716,1.013205689,29.14,1500.28,0
heat-trace-standard-realistic-01,2.082353,pumping,pump-stroke,true,false,5,102.78845483,1.48744969,298.59092892,298.15095723,1.013195135,29.14,1500.28,0
heat-trace-standard-realistic-01,2.552941,pumping,pump-stroke,true,false,6,103.15323103,1.85224406,298.69189158,298.15146956,1.016447076,36.89,1500.82,0
heat-trace-standard-realistic-01,3.023529,pumping,periodic,true,false,6,103.51525872,2.21428949,298.78937534,298.15208406,1.019681617,43.99,1501.28,0
heat-trace-standard-realistic-01,3.023529,pumping,pump-stroke,true,false,7,103.51525872,2.21428949,298.78937534,298.15208406,1.019681617,43.99,1501.28,0
heat-trace-standard-realistic-01,3.494118,pumping,pump-stroke,true,false,8,103.87457153,2.57361961,298.88349446,298.15279736,1.022898829,51.39,1501.86,0
heat-trace-standard-realistic-01,3.964706,pumping,pump-stroke,true,false,9,104.23120342,2.93026836,298.97436242,298.15360607,1.026098782,58.4,1502.26,0
heat-trace-standard-realistic-01,4.064706,pumping,periodic,true,false,9,104.60480167,3.30387014,299.08222482,298.15380025,1.029405267,64.1,1502.49,0
heat-trace-standard-realistic-01,4.435294,pumping,pump-stroke,true,false,10,104.58518839,3.28426973,299.06209109,298.15450681,1.029281544,65.64,1502.79,0
heat-trace-standard-realistic-01,4.905882,pumping,pump-stroke,true,false,11,104.93656022,3.63565747,299.14679011,298.15549622,1.032447187,72.53,1503.17,0
