channel,condition_id,condition_label,response_parameter,response_parameter_value,time_s,initial_value,target_value,response_value,normalized_response,absolute_error
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0,0,120,0,0,120
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.02,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.04,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.06,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.08,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.1,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.12,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.14,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.16,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.18,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.2,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.22,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.24,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.26,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.28,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.3,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.32,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.34,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.36,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.38,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.4,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.42,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.44,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.46,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.48,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.5,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.52,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.54,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.56,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.58,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.6,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.62,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.64,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.66,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.68,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.7,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.72,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.74,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.76,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.78,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.8,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.82,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.84,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.86,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.88,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.9,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.92,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.94,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.96,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,0.98,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,1,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,1.02,0,120,120,1,0
pressure,pressure-idealized-no-lag,压强通道理想无滞后,lag_rate_per_s,1000000,1.04,0,120,120,1,0
