scenario_id,scenario_label,configured_runs,valid_gamma_runs,u1_recordable_rate,u2_recordable_rate,gamma_mean,gamma_sample_sd,gamma_min,gamma_max,gamma_mean_absolute_error,within_best_realistic_rate,within_suitable_rate,u1_corrected_mean_mv,u1_corrected_sample_sd_mv,u2_corrected_mean_mv,u2_corrected_sample_sd_mv
absolute-ideal,绝对理想过程,1,1,1,1,1.3971,0,1.3971,1.3971,0.0029,1,1,121.85,0,33.94,0
ideal-experiment,理想实验操作,1,1,1,1,1.3923,0,1.3923,1.3923,0.0077,1,1,121.85,0,33.66,0
standard-realistic,标准真实化操作,30,30,1,1,1.374133,0.000906,1.3723,1.3761,0.025867,1,1,112.8207,0.034,30.139,0.046
low-pressure-4-strokes,4 次打气,30,30,1,1,1.28179,0.004079,1.2763,1.2912,0.11821,0,0,24.5803,0.0391,5.418,0.049
low-pressure-8-strokes,8 次打气,30,30,1,1,1.32623,0.002515,1.3215,1.3294,0.07377,0,0,50.1737,0.034,12.2667,0.0547
low-pressure-12-strokes,12 次打气,30,30,1,1,1.357697,0.001292,1.3559,1.359,0.042303,0,1,75.2693,0.0385,19.6,0.042
low-pressure-16-strokes,16 次打气,30,30,1,1,1.37116,0.00109,1.3698,1.3741,0.02884,0.833333,1,100.2823,0.0444,26.7017,0.045
slow-pump-50s,50 s 缓慢打气,5,5,1,1,1.3618,0.000274,1.3615,1.362,0.0382,0,1,91.066,0.0532,23.846,0.0219
slow-pump-120s,120 s 极慢打气,5,5,1,1,1.34872,0.001365,1.3476,1.3511,0.05128,0,1,67.066,0.0404,17.178,0.0217
short-open-0.03s,旋塞开启 0.03 s,1,1,1,1,96.4246,0,96.4246,96.4246,95.0246,0,0,121.85,0,120.54,0
short-open-0.05s,旋塞开启 0.05 s,1,1,1,1,24.0843,0,24.0843,24.0843,22.6843,0,0,121.85,0,116.65,0
long-open-2.5s,旋塞开启 2.5 s,1,1,1,1,1.3361,0,1.3361,1.3361,0.0639,0,0,112.84,0,27.82,0
long-open-10s,旋塞开启 10 s,1,1,1,1,1.2201,0,1.2201,1.2201,0.1799,0,0,112.83,0,19.99,0
u1-immediate,打气后立即记录 U1,1,1,1,1,1.2407,0,1.2407,1.2407,0.1593,0,0,125.76,0,23.82,0
u2-immediate,放气后立即记录 U2,1,1,1,1,1.0252,0,1.0252,1.0252,0.3748,0,0,112.85,0,2.78,0
u2-late-600s,放气后 600 s 记录 U2,1,1,1,1,1.3413,0,1.3413,1.3413,0.0587,0,1,112.79,0,28.16,0
u2-late-1200s,放气后 1200 s 记录 U2,1,1,1,1,1.2589,0,1.2589,1.2589,0.1411,0,0,112.84,0,22.71,0
